pl_name,hostname,discoverymethod,disc_year,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,sy_dist,sy_vmag,sy_kmag,sy_gaiamag
11 Com b,11 Com,Radial Velocity,2007,G,4874.0,13.76,2.09,-0.26,2.45,93.1846,4.72307,2.282,4.44038
11 UMi b,11 UMi,Radial Velocity,2009,K,4213.0,29.79,2.78,-0.02,1.93,125.321,5.013,1.939,4.56216
14 And b,14 And,Radial Velocity,2008,K,4888.0,11.55,1.78,-0.21,2.55,75.4392,5.23133,2.331,4.91781
14 Her b,14 Her,Radial Velocity,2002,K,5338.0,0.93,0.97,0.43,4.45,17.9323,6.61935,4.714,6.383
16 Cyg B b,16 Cyg B,Radial Velocity,1996,G,5750.0,1.13,1.08,0.06,4.36,21.1397,6.215,4.651,6.06428
17 Sco b,17 Sco,Radial Velocity,2020,K,4157.0,25.92,1.22,-0.01,1.7,124.953,5.22606,2.094,4.75429
18 Del b,18 Del,Radial Velocity,2008,G,4980.0,8.8,2.1,-0.06,2.87,76.222,5.51048,3.366,5.27476
24 Boo b,24 Boo,Radial Velocity,2018,G,4816.0,12.19,1.05,-0.78,2.28,95.9863,5.59,3.159,5.3339
24 Sex b,24 Sex,Radial Velocity,2010,K,5098.0,4.9,1.54,-0.03,3.5,72.0691,6.4535,4.285,6.20374
24 Sex c,24 Sex,Radial Velocity,2010,K,5098.0,4.9,1.54,-0.03,3.5,72.0691,6.4535,4.285,6.20374
2M0437 b,2MASS J04372171+2651014,Imaging,2021,M,3100.0,0.84,0.17,0.01,4.5,128.484,16.186,10.386,14.3374
4 UMa b,4 UMa,Radial Velocity,2006,K,4415.0,18.11,1.234,-0.25,1.8,73.4603,4.5801,1.734,4.23773
47 UMa b,47 UMa,Radial Velocity,1996,G,5872.0,1.21334,1.06,0.04,4.29541,13.7967,5.03352,3.75,4.87837
47 UMa c,47 UMa,Radial Velocity,2001,G,5872.0,1.21334,1.06,0.04,4.29541,13.7967,5.03352,3.75,4.87837
47 UMa d,47 UMa,Radial Velocity,2009,G,5872.0,1.21334,1.06,0.04,4.29541,13.7967,5.03352,3.75,4.87837
51 Eri b,51 Eri,Imaging,2015,F,7422.0,1.45,1.75,0.13,4.31078,29.7575,5.21149,4.537,5.15806
51 Peg b,51 Peg,Radial Velocity,1995,G,5761.0,1.19,1.07,0.2058,4.317353,15.4614,5.45309,3.911,5.28647
55 Cnc B b,55 Cnc B,Radial Velocity,2025,M,3286.0,0.274,0.26,0.16,4.86,12.4773,13.152,7.666,11.6798
55 Cnc B c,55 Cnc B,Radial Velocity,2025,M,3286.0,0.274,0.26,0.16,4.86,12.4773,13.152,7.666,11.6798
55 Cnc b,55 Cnc,Radial Velocity,1996,G,5198.0,0.98,1.015,0.39,4.3,12.5855,5.95084,4.015,5.72973
55 Cnc c,55 Cnc,Radial Velocity,2004,G,5198.0,0.98,1.015,0.39,4.3,12.5855,5.95084,4.015,5.72973
55 Cnc d,55 Cnc,Radial Velocity,2002,G,5198.0,0.98,1.015,0.39,4.3,12.5855,5.95084,4.015,5.72973
55 Cnc e,55 Cnc,Radial Velocity,2004,G,5172.0,0.943,0.905,0.35,4.43,12.5855,5.95084,4.015,5.72973
55 Cnc f,55 Cnc,Radial Velocity,2007,G,5198.0,0.98,1.015,0.39,4.3,12.5855,5.95084,4.015,5.72973
6 Lyn b,6 Lyn,Radial Velocity,2008,K,4941.0,4.94,1.32,-0.17,3.16,54.6599,5.87307,3.701,5.60686
61 Vir b,61 Vir,Radial Velocity,2009,G,5577.0,0.963,0.942,-0.01,4.34,8.50332,4.6955,2.956,4.54052
61 Vir c,61 Vir,Radial Velocity,2009,G,5577.0,0.963,0.942,-0.01,4.34,8.50332,4.6955,2.956,4.54052
61 Vir d,61 Vir,Radial Velocity,2009,G,5577.0,0.963,0.942,-0.01,4.34,8.50332,4.6955,2.956,4.54052
7 CMa b,7 CMa,Radial Velocity,2011,K,4826.0,4.87,1.34,0.21,3.19,19.8101,3.95,1.564,3.67853
7 CMa c,7 CMa,Radial Velocity,2019,K,4826.0,4.87,1.34,0.21,3.19,19.8101,3.95,1.564,3.67853
70 Vir b,70 Vir,Radial Velocity,1996,G,5495.0,1.89,1.09,-0.09,3.95,17.9011,4.96808,3.5,4.76178
75 Cet b,75 Cet,Radial Velocity,2012,G,4809.0,10.38,1.92,0.1,2.69,82.9613,5.3532,3.207,5.09343
75 Cet c,75 Cet,Radial Velocity,2023,G,4809.0,10.38,1.92,0.1,2.69,82.9613,5.3532,3.207,5.09343
8 UMi b,8 UMi,Radial Velocity,2015,K,4847.0,10.73,1.51,-0.03,2.57,162.552,6.83295,4.515,6.55896
81 Cet b,81 Cet,Radial Velocity,2008,G,4734.0,11.21,1.23,-0.11,2.41,101.26,5.64307,3.266,5.37588
91 Aqr b,91 Aqr,Radial Velocity,2013,K,4665.0,11.0,1.4,-0.03,2.52,44.0304,4.23946,1.597,3.95311
AB Pic b,AB Pic,Imaging,2005,K,5285.0,0.999394,0.9,0.04,4.53,50.0475,9.13,6.981,8.8378
AF Lep b,AF Lep,Imaging,2023,F,6140.0,1.25,1.218,0.19,4.4,26.8564,6.332,4.926,6.18644
AU Mic b,AU Mic,Transit,2020,M,3540.0,0.862,0.635,0.01,4.37,9.7221,8.81,4.529,7.84038
AU Mic c,AU Mic,Transit,2021,M,3540.0,0.862,0.635,0.01,4.37,9.7221,8.81,4.529,7.84038
